feature,group,source_a,source_b,jsd
byte_rate,flow,cj_sniffer,hikari2021,0.891858
byte_rate,flow,cj_sniffer,iot23_mcfp,0.632217
byte_rate,flow,hikari2021,iot23_mcfp,0.845887
packet_rate,flow,auto_capture_hf,cesnet_miner22,0.866794
packet_rate,flow,auto_capture_hf,cj_sniffer,0.812709
packet_rate,flow,auto_capture_hf,hikari2021,0.751693
packet_rate,flow,auto_capture_hf,iot23_mcfp,0.862244
packet_rate,flow,cesnet_miner22,cj_sniffer,0.795978
packet_rate,flow,cesnet_miner22,hikari2021,0.80371
packet_rate,flow,cesnet_miner22,iot23_mcfp,0.869559
packet_rate,flow,cj_sniffer,hikari2021,0.854616
packet_rate,flow,cj_sniffer,iot23_mcfp,0.819067
packet_rate,flow,hikari2021,iot23_mcfp,0.871971
bytes_ratio_fwd,flow,auto_capture_hf,cesnet_miner22,0.85605
bytes_ratio_fwd,flow,auto_capture_hf,cj_sniffer,0.809729
bytes_ratio_fwd,flow,auto_capture_hf,hikari2021,0.848069
bytes_ratio_fwd,flow,auto_capture_hf,iot23_mcfp,0.724396
bytes_ratio_fwd,flow,cesnet_miner22,cj_sniffer,0.861335
bytes_ratio_fwd,flow,cesnet_miner22,hikari2021,0.753034
bytes_ratio_fwd,flow,cesnet_miner22,iot23_mcfp,0.638975
bytes_ratio_fwd,flow,cj_sniffer,hikari2021,0.846628
bytes_ratio_fwd,flow,cj_sniffer,iot23_mcfp,0.68187
bytes_ratio_fwd,flow,hikari2021,iot23_mcfp,0.892326
packets_ratio_fwd,flow,auto_capture_hf,cesnet_miner22,0.850301
packets_ratio_fwd,flow,auto_capture_hf,cj_sniffer,0.721156
packets_ratio_fwd,flow,auto_capture_hf,hikari2021,0.773654
packets_ratio_fwd,flow,auto_capture_hf,iot23_mcfp,0.12015
packets_ratio_fwd,flow,cesnet_miner22,cj_sniffer,0.770101
packets_ratio_fwd,flow,cesnet_miner22,hikari2021,0.63887
packets_ratio_fwd,flow,cesnet_miner22,iot23_mcfp,0.838048
packets_ratio_fwd,flow,cj_sniffer,hikari2021,0.732788
packets_ratio_fwd,flow,cj_sniffer,iot23_mcfp,0.066106
packets_ratio_fwd,flow,hikari2021,iot23_mcfp,0.851315
pkt_len_mean,timing,auto_capture_hf,cesnet_miner22,0.826617
pkt_len_mean,timing,auto_capture_hf,cj_sniffer,0.839425
pkt_len_mean,timing,auto_capture_hf,hikari2021,0.0
pkt_len_mean,timing,auto_capture_hf,iot23_mcfp,0.0
pkt_len_mean,timing,cesnet_miner22,cj_sniffer,0.811422
pkt_len_mean,timing,cesnet_miner22,hikari2021,0.933003
pkt_len_mean,timing,cesnet_miner22,iot23_mcfp,0.751772
pkt_len_mean,timing,cj_sniffer,hikari2021,0.0
pkt_len_mean,timing,cj_sniffer,iot23_mcfp,0.0
pkt_len_mean,timing,hikari2021,iot23_mcfp,0.0
pkt_len_std,timing,auto_capture_hf,cesnet_miner22,0.835634
pkt_len_std,timing,auto_capture_hf,cj_sniffer,0.82819
pkt_len_std,timing,auto_capture_hf,hikari2021,0.0
pkt_len_std,timing,auto_capture_hf,iot23_mcfp,0.0
pkt_len_std,timing,cesnet_miner22,cj_sniffer,0.890302
pkt_len_std,timing,cesnet_miner22,hikari2021,0.93761
pkt_len_std,timing,cesnet_miner22,iot23_mcfp,0.728051
pkt_len_std,timing,cj_sniffer,hikari2021,0.0
pkt_len_std,timing,cj_sniffer,iot23_mcfp,0.0
pkt_len_std,timing,hikari2021,iot23_mcfp,0.0
pkt_len_min,timing,auto_capture_hf,cesnet_miner22,0.992326
pkt_len_min,timing,auto_capture_hf,cj_sniffer,0.465774
pkt_len_min,timing,auto_capture_hf,hikari2021,0.0
pkt_len_min,timing,auto_capture_hf,iot23_mcfp,0.0
pkt_len_min,timing,cesnet_miner22,cj_sniffer,0.960602
pkt_len_min,timing,cesnet_miner22,hikari2021,0.934486
pkt_len_min,timing,cesnet_miner22,iot23_mcfp,0.910914
pkt_len_min,timing,cj_sniffer,hikari2021,0.0
pkt_len_min,timing,cj_sniffer,iot23_mcfp,0.0
